epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.969,1.46461,2.26548,1.36269,0.57013,0.40317,0.43842,0.30358,1.25184,1.3957,1.1621,3.9508e-05,3.9508e-05,3.9508e-05
2,319.578,1.45658,2.04975,1.33901,0.5788,0.41192,0.44288,0.30772,1.2608,1.38514,1.16602,7.52555e-05,7.52555e-05,7.52555e-05
3,462.25,1.43155,1.97713,1.32063,0.57748,0.42048,0.4529,0.31459,1.25306,1.35482,1.15897,0.000107076,0.000107076,0.000107076
4,612.081,1.40905,1.93423,1.30806,0.64166,0.41198,0.46044,0.31998,1.24375,1.32928,1.15805,0.000101329,0.000101329,0.000101329
5,757.371,1.40294,1.87425,1.30536,0.60155,0.43569,0.46653,0.32375,1.23625,1.32702,1.14699,9.5438e-05,9.5438e-05,9.5438e-05
6,903.314,1.38702,1.82728,1.28796,0.59771,0.45236,0.47408,0.33121,1.22215,1.30731,1.14365,8.95475e-05,8.95475e-05,8.95475e-05
7,1039.64,1.36712,1.80695,1.27782,0.6579,0.42318,0.48083,0.33519,1.22183,1.28269,1.13984,8.3657e-05,8.3657e-05,8.3657e-05
8,1172.76,1.36255,1.81853,1.28379,0.63996,0.43916,0.48915,0.34385,1.20528,1.27543,1.13284,7.77665e-05,7.77665e-05,7.77665e-05
9,1307.13,1.36432,1.8126,1.27763,0.63811,0.4504,0.49137,0.34503,1.2071,1.26885,1.13188,7.1876e-05,7.1876e-05,7.1876e-05
10,1439.99,1.35481,1.74028,1.27265,0.6567,0.44109,0.49565,0.3475,1.20361,1.27292,1.1285,6.59855e-05,6.59855e-05,6.59855e-05
11,1579.63,1.37773,1.82143,1.25244,0.59552,0.44867,0.47464,0.33234,1.21477,1.3163,1.13029,6.0095e-05,6.0095e-05,6.0095e-05
12,1729.55,1.32603,1.69171,1.23154,0.59246,0.45587,0.49041,0.34708,1.18839,1.30091,1.12185,5.42045e-05,5.42045e-05,5.42045e-05
13,1881.31,1.31612,1.63697,1.22155,0.60768,0.45851,0.49524,0.34978,1.19238,1.27475,1.11999,4.8314e-05,4.8314e-05,4.8314e-05
14,2033.37,1.30529,1.59982,1.21595,0.62344,0.46517,0.50269,0.35565,1.19145,1.25288,1.12112,4.24235e-05,4.24235e-05,4.24235e-05
15,2196.6,1.29142,1.56866,1.21015,0.61013,0.46947,0.50402,0.35731,1.18497,1.24203,1.11553,3.6533e-05,3.6533e-05,3.6533e-05
16,2351.28,1.278,1.56489,1.20955,0.6021,0.47679,0.50619,0.35992,1.17871,1.23659,1.11318,3.06425e-05,3.06425e-05,3.06425e-05
17,2501.53,1.27315,1.54291,1.19973,0.65206,0.45835,0.50856,0.36094,1.18143,1.23954,1.11471,2.4752e-05,2.4752e-05,2.4752e-05
18,2652.96,1.27245,1.51618,1.19667,0.62039,0.47098,0.51089,0.36337,1.1748,1.24088,1.11109,1.88615e-05,1.88615e-05,1.88615e-05
19,2787.46,1.28112,1.52877,1.20691,0.6357,0.47012,0.5133,0.36591,1.17294,1.2208,1.10992,1.2971e-05,1.2971e-05,1.2971e-05
20,2922.2,1.27173,1.50478,1.19532,0.60729,0.48003,0.51345,0.36488,1.16942,1.22658,1.10795,7.0805e-06,7.0805e-06,7.0805e-06
